Ref_Date,GEO,AGE,SEX,MHWBPROF,UNIT,Value
2002,Canada,15 to 24 years,Both sexes,"Panic disorder, all measured criteria are met","Low 95% confidence interval, number of persons",56007
2002,Canada,15 to 24 years,Both sexes,"Panic disorder, all measured criteria are met","High 95% confidence interval, number of persons",91013
2002,Canada,15 to 24 years,Both sexes,"Panic disorder, all measured criteria are met",Coefficient of variation for number of persons,12.1
2002,Canada,15 to 24 years,Both sexes,"Panic disorder, all measured criteria are met",Percent,1.8
2002,Canada,15 to 24 years,Both sexes,"Panic disorder, all measured criteria are met","Low 95% confidence interval, percent",1.4
2002,Canada,15 to 24 years,Both sexes,"Panic disorder, all measured criteria are met","High 95% confidence interval, percent",2.2
2002,Canada,15 to 24 years,Both sexes,"Panic disorder, all measured criteria are met",Coefficient of variation for percent,12.1
2002,Canada,15 to 24 years,Both sexes,"Panic disorder, measured criteria not met",Number of persons,4037034
2002,Canada,15 to 24 years,Both sexes,"Panic disorder, measured criteria not met","Low 95% confidence interval, number of persons",4017068
2002,Canada,15 to 24 years,Both sexes,"Panic disorder, measured criteria not met","High 95% confidence interval, number of persons",4057000
2002,Canada,15 to 24 years,Both sexes,"Panic disorder, measured criteria not met",Coefficient of variation for number of persons,0.3
2002,Canada,15 to 24 years,Both sexes,"Panic disorder, measured criteria not met",Percent,97.6
2002,Canada,15 to 24 years,Both sexes,"Panic disorder, measured criteria not met","Low 95% confidence interval, percent",97.1
2002,Canada,15 to 24 years,Both sexes,"Panic disorder, measured criteria not met","High 95% confidence interval, percent",98.1
2002,Canada,15 to 24 years,Both sexes,"Panic disorder, measured criteria not met",Coefficient of variation for percent,0.3
2002,Canada,15 to 24 years,Both sexes,"Panic disorder, not stated",Number of persons,25917
2002,Canada,15 to 24 years,Both sexes,"Panic disorder, not stated","Low 95% confidence interval, number of persons",15907
2002,Canada,15 to 24 years,Both sexes,"Panic disorder, not stated","High 95% confidence interval, number of persons",35926
2002,Canada,15 to 24 years,Both sexes,"Panic disorder, not stated",Coefficient of variation for number of persons,19.7
2002,Canada,15 to 24 years,Both sexes,"Panic disorder, not stated",Percent,0.6
2002,Canada,15 to 24 years,Both sexes,"Panic disorder, not stated","Low 95% confidence interval, percent",0.4
2002,Canada,15 to 24 years,Both sexes,"Panic disorder, not stated","High 95% confidence interval, percent",0.9
2002,Canada,15 to 24 years,Both sexes,"Panic disorder, not stated",Coefficient of variation for percent,19.7
2002,Canada,15 to 24 years,Both sexes,Total population for the variable social phobia (social anxiety disorder),Number of persons,4136460
2002,Canada,15 to 24 years,Both sexes,Total population for the variable social phobia (social anxiety disorder),"Low 95% confidence interval, number of persons",4136460
2002,Canada,15 to 24 years,Both sexes,Total population for the variable social phobia (social anxiety disorder),"High 95% confidence interval, number of persons",4136460
2002,Canada,15 to 24 years,Both sexes,Total population for the variable social phobia (social anxiety disorder),Coefficient of variation for number of persons,0
2002,Canada,15 to 24 years,Both sexes,Total population for the variable social phobia (social anxiety disorder),Percent,100
2002,Canada,15 to 24 years,Both sexes,Total population for the variable social phobia (social anxiety disorder),"Low 95% confidence interval, percent",100
2002,Canada,15 to 24 years,Both sexes,Total population for the variable social phobia (social anxiety disorder),"High 95% confidence interval, percent",100
2002,Canada,15 to 24 years,Both sexes,Total population for the variable social phobia (social anxiety disorder),Coefficient of variation for percent,0
2002,Canada,15 to 24 years,Both sexes,"Social phobia (social anxiety disorder), all measured criteria are met",Number of persons,193297
2002,Canada,15 to 24 years,Both sexes,"Social phobia (social anxiety disorder), all measured criteria are met","Low 95% confidence interval, number of persons",162968
2002,Canada,15 to 24 years,Both sexes,"Social phobia (social anxiety disorder), all measured criteria are met","High 95% confidence interval, number of persons",223626
2002,Canada,15 to 24 years,Both sexes,"Social phobia (social anxiety disorder), all measured criteria are met",Coefficient of variation for number of persons,8
2002,Canada,15 to 24 years,Both sexes,"Social phobia (social anxiety disorder), all measured criteria are met",Percent,4.7
2002,Canada,15 to 24 years,Both sexes,"Social phobia (social anxiety disorder), all measured criteria are met","Low 95% confidence interval, percent",3.9
2002,Canada,15 to 24 years,Both sexes,"Social phobia (social anxiety disorder), all measured criteria are met","High 95% confidence interval, percent",5.4
2002,Canada,15 to 24 years,Both sexes,"Social phobia (social anxiety disorder), all measured criteria are met",Coefficient of variation for percent,8
2002,Canada,15 to 24 years,Both sexes,"Social phobia (social anxiety disorder), measured criteria not met",Number of persons,3931727
2002,Canada,15 to 24 years,Both sexes,"Social phobia (social anxiety disorder), measured criteria not met","Low 95% confidence interval, number of persons",3901148
2002,Canada,15 to 24 years,Both sexes,"Social phobia (social anxiety disorder), measured criteria not met","High 95% confidence interval, number of persons",3962306
2002,Canada,15 to 24 years,Both sexes,"Social phobia (social anxiety disorder), measured criteria not met",Coefficient of variation for number of persons,0.4
2002,Canada,15 to 24 years,Both sexes,"Social phobia (social anxiety disorder), measured criteria not met",Percent,95.1
2002,Canada,15 to 24 years,Both sexes,"Social phobia (social anxiety disorder), measured criteria not met","Low 95% confidence interval, percent",94.3
2002,Canada,15 to 24 years,Both sexes,"Social phobia (social anxiety disorder), measured criteria not met","High 95% confidence interval, percent",95.8
2002,Canada,15 to 24 years,Both sexes,"Social phobia (social anxiety disorder), measured criteria not met",Coefficient of variation for percent,0.4
2002,Canada,15 to 24 years,Both sexes,"Social phobia (social anxiety disorder), not stated",Number of persons,11436
2002,Canada,15 to 24 years,Both sexes,"Social phobia (social anxiety disorder), not stated","Low 95% confidence interval, number of persons",6293
2002,Canada,15 to 24 years,Both sexes,"Social phobia (social anxiety disorder), not stated","High 95% confidence interval, number of persons",16579
2002,Canada,15 to 24 years,Both sexes,"Social phobia (social anxiety disorder), not stated",Coefficient of variation for number of persons,22.9
2002,Canada,15 to 24 years,Both sexes,"Social phobia (social anxiety disorder), not stated",Percent,0.3
2002,Canada,15 to 24 years,Both sexes,"Social phobia (social anxiety disorder), not stated","Low 95% confidence interval, percent",0.2
2002,Canada,15 to 24 years,Both sexes,"Social phobia (social anxiety disorder), not stated","High 95% confidence interval, percent",0.4
2002,Canada,15 to 24 years,Both sexes,"Social phobia (social anxiety disorder), not stated",Coefficient of variation for percent,22.9
2002,Canada,15 to 24 years,Both sexes,Total population for the variable agoraphobia,Number of persons,4136460
2002,Canada,15 to 24 years,Both sexes,Total population for the variable agoraphobia,"Low 95% confidence interval, number of persons",4136460
2002,Canada,15 to 24 years,Both sexes,Total population for the variable agoraphobia,"High 95% confidence interval, number of persons",4136460
2002,Canada,15 to 24 years,Both sexes,Total population for the variable agoraphobia,Coefficient of variation for number of persons,0
2002,Canada,15 to 24 years,Both sexes,Total population for the variable agoraphobia,Percent,100
2002,Canada,15 to 24 years,Both sexes,Total population for the variable agoraphobia,"Low 95% confidence interval, percent",100
2002,Canada,15 to 24 years,Both sexes,Total population for the variable agoraphobia,"High 95% confidence interval, percent",100
2002,Canada,15 to 24 years,Both sexes,Total population for the variable agoraphobia,Coefficient of variation for percent,0
2002,Canada,15 to 24 years,Both sexes,"Agoraphobia, all measured criteria are met",Number of persons,33612
2002,Canada,15 to 24 years,Both sexes,"Agoraphobia, all measured criteria are met","Low 95% confidence interval, number of persons",23135
2002,Canada,15 to 24 years,Both sexes,"Agoraphobia, all measured criteria are met","High 95% confidence interval, number of persons",44088
2002,Canada,15 to 24 years,Both sexes,"Agoraphobia, all measured criteria are met",Coefficient of variation for number of persons,15.9
2002,Canada,15 to 24 years,Both sexes,"Agoraphobia, all measured criteria are met",Percent,0.8
2002,Canada,15 to 24 years,Both sexes,"Agoraphobia, all measured criteria are met","Low 95% confidence interval, percent",0.6
2002,Canada,15 to 24 years,Both sexes,"Agoraphobia, all measured criteria are met","High 95% confidence interval, percent",1.1
2002,Canada,15 to 24 years,Both sexes,"Agoraphobia, all measured criteria are met",Coefficient of variation for percent,15.9
2002,Canada,15 to 24 years,Both sexes,"Agoraphobia, measured criteria not met",Number of persons,4095001
2002,Canada,15 to 24 years,Both sexes,"Agoraphobia, measured criteria not met","Low 95% confidence interval, number of persons",4083853
2002,Canada,15 to 24 years,Both sexes,"Agoraphobia, measured criteria not met","High 95% confidence interval, number of persons",4106149
2002,Canada,15 to 24 years,Both sexes,"Agoraphobia, measured criteria not met",Coefficient of variation for number of persons,0.1
2002,Canada,15 to 24 years,Both sexes,"Agoraphobia, measured criteria not met",Percent,99
2002,Canada,15 to 24 years,Both sexes,"Agoraphobia, measured criteria not met","Low 95% confidence interval, percent",98.7
2002,Canada,15 to 24 years,Both sexes,"Agoraphobia, measured criteria not met","High 95% confidence interval, percent",99.3
2002,Canada,15 to 24 years,Both sexes,"Agoraphobia, measured criteria not met",Coefficient of variation for percent,0.1
2002,Canada,15 to 24 years,Both sexes,"Agoraphobia, not stated",Number of persons,7847
2002,Canada,15 to 24 years,Both sexes,"Agoraphobia, not stated","Low 95% confidence interval, number of persons",2887
2002,Canada,15 to 24 years,Both sexes,"Agoraphobia, not stated","High 95% confidence interval, number of persons",12808
2002,Canada,15 to 24 years,Both sexes,"Agoraphobia, not stated",Coefficient of variation for number of persons,32.3
2002,Canada,15 to 24 years,Both sexes,"Agoraphobia, not stated",Percent,0.2
2002,Canada,15 to 24 years,Both sexes,"Agoraphobia, not stated","Low 95% confidence interval, percent",0.1
2002,Canada,15 to 24 years,Both sexes,"Agoraphobia, not stated","High 95% confidence interval, percent",0.3
2002,Canada,15 to 24 years,Both sexes,"Agoraphobia, not stated",Coefficient of variation for percent,32.3
2002,Canada,15 to 24 years,Both sexes,Total population for the variable any measured disorder or substance dependence,Number of persons,4136460
2002,Canada,15 to 24 years,Both sexes,Total population for the variable any measured disorder or substance dependence,"Low 95% confidence interval, number of persons",4136460
2002,Canada,15 to 24 years,Both sexes,Total population for the variable any measured disorder or substance dependence,"High 95% confidence interval, number of persons",4136460
2002,Canada,15 to 24 years,Both sexes,Total population for the variable any measured disorder or substance dependence,Coefficient of variation for number of persons,0
2002,Canada,15 to 24 years,Both sexes,Total population for the variable any measured disorder or substance dependence,Percent,100
2002,Canada,15 to 24 years,Both sexes,Total population for the variable any measured disorder or substance dependence,"Low 95% confidence interval, percent",100
2002,Canada,15 to 24 years,Both sexes,Total population for the variable any measured disorder or substance dependence,"High 95% confidence interval, percent",100
2002,Canada,15 to 24 years,Both sexes,Total population for the variable any measured disorder or substance dependence,Coefficient of variation for percent,0
2002,Canada,15 to 24 years,Both sexes,Had at least one measured disorder or substance dependence,Number of persons,759844
2002,Canada,15 to 24 years,Both sexes,Had at least one measured disorder or substance dependence,"Low 95% confidence interval, number of persons",702587
2002,Canada,15 to 24 years,Both sexes,Had at least one measured disorder or substance dependence,"High 95% confidence interval, number of persons",817102
2002,Canada,15 to 24 years,Both sexes,Had at least one measured disorder or substance dependence,Coefficient of variation for number of persons,3.8
2002,Canada,15 to 24 years,Both sexes,Had at least one measured disorder or substance dependence,Percent,18.4
2002,Canada,15 to 24 years,Both sexes,Had at least one measured disorder or substance dependence,"Low 95% confidence interval, percent",17
2002,Canada,15 to 24 years,Both sexes,Had at least one measured disorder or substance dependence,"High 95% confidence interval, percent",19.8
2002,Canada,15 to 24 years,Both sexes,Had at least one measured disorder or substance dependence,Coefficient of variation for percent,3.8
2002,Canada,15 to 24 years,Both sexes,Did not have a measured disorder or substance dependence,Number of persons,3323199
2002,Canada,15 to 24 years,Both sexes,Did not have a measured disorder or substance dependence,"Low 95% confidence interval, number of persons",3265110
2002,Canada,15 to 24 years,Both sexes,Did not have a measured disorder or substance dependence,"High 95% confidence interval, number of persons",3381289
2002,Canada,15 to 24 years,Both sexes,Did not have a measured disorder or substance dependence,Coefficient of variation for number of persons,0.9
2002,Canada,15 to 24 years,Both sexes,Did not have a measured disorder or substance dependence,Percent,80.3
2002,Canada,15 to 24 years,Both sexes,Did not have a measured disorder or substance dependence,"Low 95% confidence interval, percent",78.9
2002,Canada,15 to 24 years,Both sexes,Did not have a measured disorder or substance dependence,"High 95% confidence interval, percent",81.7
2002,Canada,15 to 24 years,Both sexes,Did not have a measured disorder or substance dependence,Coefficient of variation for percent,0.9
2002,Canada,15 to 24 years,Both sexes,"Any measured disorder or substance dependence, not stated",Number of persons,53417
2002,Canada,15 to 24 years,Both sexes,"Any measured disorder or substance dependence, not stated","Low 95% confidence interval, number of persons",40665
2002,Canada,15 to 24 years,Both sexes,"Any measured disorder or substance dependence, not stated","High 95% confidence interval, number of persons",66169
2002,Canada,15 to 24 years,Both sexes,"Any measured disorder or substance dependence, not stated",Coefficient of variation for number of persons,12.2
2002,Canada,15 to 24 years,Both sexes,"Any measured disorder or substance dependence, not stated",Percent,1.3
2002,Canada,15 to 24 years,Both sexes,"Any measured disorder or substance dependence, not stated","Low 95% confidence interval, percent",1
2002,Canada,15 to 24 years,Both sexes,"Any measured disorder or substance dependence, not stated","High 95% confidence interval, percent",1.6
2002,Canada,15 to 24 years,Both sexes,"Any measured disorder or substance dependence, not stated",Coefficient of variation for percent,12.2
2002,Canada,15 to 24 years,Both sexes,Total population for the variable suicidal thoughts,Number of persons,4136460
2002,Canada,15 to 24 years,Both sexes,Total population for the variable suicidal thoughts,"Low 95% confidence interval, number of persons",4136460
2002,Canada,15 to 24 years,Both sexes,Total population for the variable suicidal thoughts,"High 95% confidence interval, number of persons",4136460
2002,Canada,15 to 24 years,Both sexes,Total population for the variable suicidal thoughts,Coefficient of variation for number of persons,0
2002,Canada,15 to 24 years,Both sexes,Total population for the variable suicidal thoughts,Percent,100
2002,Canada,15 to 24 years,Both sexes,Total population for the variable suicidal thoughts,"Low 95% confidence interval, percent",100
2002,Canada,15 to 24 years,Both sexes,Total population for the variable suicidal thoughts,"High 95% confidence interval, percent",100
2002,Canada,15 to 24 years,Both sexes,Total population for the variable suicidal thoughts,Coefficient of variation for percent,0
2002,Canada,15 to 24 years,Both sexes,Suicidal thoughts in past 12 months,Number of persons,247249
2002,Canada,15 to 24 years,Both sexes,Suicidal thoughts in past 12 months,"Low 95% confidence interval, number of persons",214946
2002,Canada,15 to 24 years,Both sexes,Suicidal thoughts in past 12 months,"High 95% confidence interval, number of persons",279552
2002,Canada,15 to 24 years,Both sexes,Suicidal thoughts in past 12 months,Coefficient of variation for number of persons,6.7
2002,Canada,15 to 24 years,Both sexes,Suicidal thoughts in past 12 months,Percent,6
2002,Canada,15 to 24 years,Both sexes,Suicidal thoughts in past 12 months,"Low 95% confidence interval, percent",5.2
2002,Canada,15 to 24 years,Both sexes,Suicidal thoughts in past 12 months,"High 95% confidence interval, percent",6.8
2002,Canada,15 to 24 years,Both sexes,Suicidal thoughts in past 12 months,Coefficient of variation for percent,6.7
2002,Canada,15 to 24 years,Both sexes,No suicidal thoughts in past 12 months,Number of persons,3887433
2002,Canada,15 to 24 years,Both sexes,No suicidal thoughts in past 12 months,"Low 95% confidence interval, number of persons",3854959
2002,Canada,15 to 24 years,Both sexes,No suicidal thoughts in past 12 months,"High 95% confidence interval, number of persons",3919908
2002,Canada,15 to 24 years,Both sexes,No suicidal thoughts in past 12 months,Coefficient of variation for number of persons,0.4
2002,Canada,15 to 24 years,Both sexes,No suicidal thoughts in past 12 months,Percent,94
2002,Canada,15 to 24 years,Both sexes,No suicidal thoughts in past 12 months,"Low 95% confidence interval, percent",93.2
2002,Canada,15 to 24 years,Both sexes,No suicidal thoughts in past 12 months,"High 95% confidence interval, percent",94.8
2002,Canada,15 to 24 years,Both sexes,No suicidal thoughts in past 12 months,Coefficient of variation for percent,0.4
2002,Canada,15 to 24 years,Both sexes,"Suicidal thoughts, not stated",Number of persons,F
2002,Canada,15 to 24 years,Both sexes,"Suicidal thoughts, not stated","Low 95% confidence interval, number of persons",F
2002,Canada,15 to 24 years,Both sexes,"Suicidal thoughts, not stated","High 95% confidence interval, number of persons",F
2002,Canada,15 to 24 years,Both sexes,"Suicidal thoughts, not stated",Coefficient of variation for number of persons,F
2002,Canada,15 to 24 years,Both sexes,"Suicidal thoughts, not stated",Percent,F
2002,Canada,15 to 24 years,Both sexes,"Suicidal thoughts, not stated","Low 95% confidence interval, percent",F
2002,Canada,15 to 24 years,Both sexes,"Suicidal thoughts, not stated","High 95% confidence interval, percent",F
2002,Canada,15 to 24 years,Both sexes,"Suicidal thoughts, not stated",Coefficient of variation for percent,F
2002,Canada,15 to 24 years,Both sexes,Total population for the variable risk of gambling problem,Number of persons,4136460
2002,Canada,15 to 24 years,Both sexes,Total population for the variable risk of gambling problem,"Low 95% confidence interval, number of persons",4136460
2002,Canada,15 to 24 years,Both sexes,Total population for the variable risk of gambling problem,"High 95% confidence interval, number of persons",4136460
2002,Canada,15 to 24 years,Both sexes,Total population for the variable risk of gambling problem,Coefficient of variation for number of persons,0
2002,Canada,15 to 24 years,Both sexes,Total population for the variable risk of gambling problem,Percent,100
2002,Canada,15 to 24 years,Both sexes,Total population for the variable risk of gambling problem,"Low 95% confidence interval, percent",100
2002,Canada,15 to 24 years,Both sexes,Total population for the variable risk of gambling problem,"High 95% confidence interval, percent",100
2002,Canada,15 to 24 years,Both sexes,Total population for the variable risk of gambling problem,Coefficient of variation for percent,0
2002,Canada,15 to 24 years,Both sexes,Persons who do not consider themselves a gambler,Number of persons,529092
2002,Canada,15 to 24 years,Both sexes,Persons who do not consider themselves a gambler,"Low 95% confidence interval, number of persons",478548
2002,Canada,15 to 24 years,Both sexes,Persons who do not consider themselves a gambler,"High 95% confidence interval, number of persons",579635
2002,Canada,15 to 24 years,Both sexes,Persons who do not consider themselves a gambler,Coefficient of variation for number of persons,4.9
2002,Canada,15 to 24 years,Both sexes,Persons who do not consider themselves a gambler,Percent,12.8
2002,Canada,15 to 24 years,Both sexes,Persons who do not consider themselves a gambler,"Low 95% confidence interval, percent",11.6
2002,Canada,15 to 24 years,Both sexes,Persons who do not consider themselves a gambler,"High 95% confidence interval, percent",14
2002,Canada,15 to 24 years,Both sexes,Persons who do not consider themselves a gambler,Coefficient of variation for percent,4.9
2002,Canada,15 to 24 years,Both sexes,Non-gambler,Number of persons,1597229
2002,Canada,15 to 24 years,Both sexes,Non-gambler,"Low 95% confidence interval, number of persons",1522116
2002,Canada,15 to 24 years,Both sexes,Non-gambler,"High 95% confidence interval, number of persons",1672342
2002,Canada,15 to 24 years,Both sexes,Non-gambler,Coefficient of variation for number of persons,2.4
2002,Canada,15 to 24 years,Both sexes,Non-gambler,Percent,38.6
2002,Canada,15 to 24 years,Both sexes,Non-gambler,"Low 95% confidence interval, percent",36.8
2002,Canada,15 to 24 years,Both sexes,Non-gambler,"High 95% confidence interval, percent",40.4
2002,Canada,15 to 24 years,Both sexes,Non-gambler,Coefficient of variation for percent,2.4
2002,Canada,15 to 24 years,Both sexes,Non-problem gambler,Number of persons,1767306
2002,Canada,15 to 24 years,Both sexes,Non-problem gambler,"Low 95% confidence interval, number of persons",1692168
2002,Canada,15 to 24 years,Both sexes,Non-problem gambler,"High 95% confidence interval, number of persons",1842443
2002,Canada,15 to 24 years,Both sexes,Non-problem gambler,Coefficient of variation for number of persons,2.2
2002,Canada,15 to 24 years,Both sexes,Non-problem gambler,Percent,42.7
2002,Canada,15 to 24 years,Both sexes,Non-problem gambler,"Low 95% confidence interval, percent",40.9
2002,Canada,15 to 24 years,Both sexes,Non-problem gambler,"High 95% confidence interval, percent",44.5
2002,Canada,15 to 24 years,Both sexes,Non-problem gambler,Coefficient of variation for percent,2.2
2002,Canada,15 to 24 years,Both sexes,Low risk gambler,Number of persons,146879
2002,Canada,15 to 24 years,Both sexes,Low risk gambler,"Low 95% confidence interval, number of persons",119981
2002,Canada,15 to 24 years,Both sexes,Low risk gambler,"High 95% confidence interval, number of persons",173776
2002,Canada,15 to 24 years,Both sexes,Low risk gambler,Coefficient of variation for number of persons,9.3
2002,Canada,15 to 24 years,Both sexes,Low risk gambler,Percent,3.6
2002,Canada,15 to 24 years,Both sexes,Low risk gambler,"Low 95% confidence interval, percent",2.9
2002,Canada,15 to 24 years,Both sexes,Low risk gambler,"High 95% confidence interval, percent",4.2
2002,Canada,15 to 24 years,Both sexes,Low risk gambler,Coefficient of variation for percent,9.3
2002,Canada,15 to 24 years,Both sexes,Moderate risk gambler,Number of persons,74998
2002,Canada,15 to 24 years,Both sexes,Moderate risk gambler,"Low 95% confidence interval, number of persons",53374
2002,Canada,15 to 24 years,Both sexes,Moderate risk gambler,"High 95% confidence interval, number of persons",96621
2002,Canada,15 to 24 years,Both sexes,Moderate risk gambler,Coefficient of variation for number of persons,14.7
2002,Canada,15 to 24 years,Both sexes,Moderate risk gambler,Percent,1.8
2002,Canada,15 to 24 years,Both sexes,Moderate risk gambler,"Low 95% confidence interval, percent",1.3
2002,Canada,15 to 24 years,Both sexes,Moderate risk gambler,"High 95% confidence interval, percent",2.3
2002,Canada,15 to 24 years,Both sexes,Moderate risk gambler,Coefficient of variation for percent,14.7
2002,Canada,15 to 24 years,Both sexes,Problem gambler,Number of persons,16907
2002,Canada,15 to 24 years,Both sexes,Problem gambler,"Low 95% confidence interval, number of persons",9810
2002,Canada,15 to 24 years,Both sexes,Problem gambler,"High 95% confidence interval, number of persons",24004
2002,Canada,15 to 24 years,Both sexes,Problem gambler,Coefficient of variation for number of persons,21.4
2002,Canada,15 to 24 years,Both sexes,Problem gambler,Percent,0.4
2002,Canada,15 to 24 years,Both sexes,Problem gambler,"Low 95% confidence interval, percent",0.2
2002,Canada,15 to 24 years,Both sexes,Problem gambler,"High 95% confidence interval, percent",0.6
2002,Canada,15 to 24 years,Both sexes,Problem gambler,Coefficient of variation for percent,21.4
2002,Canada,15 to 24 years,Both sexes,"Risk of gambling problem, not stated",Number of persons,F
2002,Canada,15 to 24 years,Both sexes,"Risk of gambling problem, not stated","Low 95% confidence interval, number of persons",F
2002,Canada,15 to 24 years,Both sexes,"Risk of gambling problem, not stated","High 95% confidence interval, number of persons",F
2002,Canada,15 to 24 years,Both sexes,"Risk of gambling problem, not stated",Coefficient of variation for number of persons,F
2002,Canada,15 to 24 years,Both sexes,"Risk of gambling problem, not stated",Percent,F
2002,Canada,15 to 24 years,Both sexes,"Risk of gambling problem, not stated","Low 95% confidence interval, percent",F
2002,Canada,15 to 24 years,Both sexes,"Risk of gambling problem, not stated","High 95% confidence interval, percent",F
2002,Canada,15 to 24 years,Both sexes,"Risk of gambling problem, not stated",Coefficient of variation for percent,F
2002,Canada,15 to 24 years,Both sexes,Total population for the variable risk of eating disorder,Number of persons,4136460
2002,Canada,15 to 24 years,Both sexes,Total population for the variable risk of eating disorder,"Low 95% confidence interval, number of persons",4136460
2002,Canada,15 to 24 years,Both sexes,Total population for the variable risk of eating disorder,"High 95% confidence interval, number of persons",4136460
2002,Canada,15 to 24 years,Both sexes,Total population for the variable risk of eating disorder,Coefficient of variation for number of persons,0
2002,Canada,15 to 24 years,Both sexes,Total population for the variable risk of eating disorder,Percent,100
2002,Canada,15 to 24 years,Both sexes,Total population for the variable risk of eating disorder,"Low 95% confidence interval, percent",100
2002,Canada,15 to 24 years,Both sexes,Total population for the variable risk of eating disorder,"High 95% confidence interval, percent",100
2002,Canada,15 to 24 years,Both sexes,Total population for the variable risk of eating disorder,Coefficient of variation for percent,0
2002,Canada,15 to 24 years,Both sexes,At risk of eating disorder,Number of persons,80324
2002,Canada,15 to 24 years,Both sexes,At risk of eating disorder,"Low 95% confidence interval, number of persons",61051
2002,Canada,15 to 24 years,Both sexes,At risk of eating disorder,"High 95% confidence interval, number of persons",99596
2002,Canada,15 to 24 years,Both sexes,At risk of eating disorder,Coefficient of variation for number of persons,12.2
2002,Canada,15 to 24 years,Both sexes,At risk of eating disorder,Percent,1.9
2002,Canada,15 to 24 years,Both sexes,At risk of eating disorder,"Low 95% confidence interval, percent",1.5
2002,Canada,15 to 24 years,Both sexes,At risk of eating disorder,"High 95% confidence interval, percent",2.4
2002,Canada,15 to 24 years,Both sexes,At risk of eating disorder,Coefficient of variation for percent,12.2
2002,Canada,15 to 24 years,Both sexes,Does not likely have eating disorder,Number of persons,4049263
2002,Canada,15 to 24 years,Both sexes,Does not likely have eating disorder,"Low 95% confidence interval, number of persons",4029040
2002,Canada,15 to 24 years,Both sexes,Does not likely have eating disorder,"High 95% confidence interval, number of persons",4069487
2002,Canada,15 to 24 years,Both sexes,Does not likely have eating disorder,Coefficient of variation for number of persons,0.3
2002,Canada,15 to 24 years,Both sexes,Does not likely have eating disorder,Percent,97.9
2002,Canada,15 to 24 years,Both sexes,Does not likely have eating disorder,"Low 95% confidence interval, percent",97.4
2002,Canada,15 to 24 years,Both sexes,Does not likely have eating disorder,"High 95% confidence interval, percent",98.4
2002,Canada,15 to 24 years,Both sexes,Does not likely have eating disorder,Coefficient of variation for percent,0.3
2002,Canada,15 to 24 years,Both sexes,"Risk of eating disorder, not stated",Number of persons,F
2002,Canada,15 to 24 years,Both sexes,"Risk of eating disorder, not stated","Low 95% confidence interval, number of persons",F
2002,Canada,15 to 24 years,Both sexes,"Risk of eating disorder, not stated","High 95% confidence interval, number of persons",F
2002,Canada,15 to 24 years,Both sexes,"Risk of eating disorder, not stated",Coefficient of variation for number of persons,F
2002,Canada,15 to 24 years,Both sexes,"Risk of eating disorder, not stated",Percent,F
2002,Canada,15 to 24 years,Both sexes,"Risk of eating disorder, not stated","Low 95% confidence interval, percent",F
2002,Canada,15 to 24 years,Both sexes,"Risk of eating disorder, not stated","High 95% confidence interval, percent",F
2002,Canada,15 to 24 years,Both sexes,"Risk of eating disorder, not stated",Coefficient of variation for percent,F
2002,Canada,15 to 24 years,Both sexes,Total population for the variable alcohol dependence,Number of persons,4136460
2002,Canada,15 to 24 years,Both sexes,Total population for the variable alcohol dependence,"Low 95% confidence interval, number of persons",4136460
2002,Canada,15 to 24 years,Both sexes,Total population for the variable alcohol dependence,"High 95% confidence interval, number of persons",4136460
2002,Canada,15 to 24 years,Both sexes,Total population for the variable alcohol dependence,Coefficient of variation for number of persons,0
2002,Canada,15 to 24 years,Both sexes,Total population for the variable alcohol dependence,Percent,100
2002,Canada,15 to 24 years,Both sexes,Total population for the variable alcohol dependence,"Low 95% confidence interval, percent",100
2002,Canada,15 to 24 years,Both sexes,Total population for the variable alcohol dependence,"High 95% confidence interval, percent",100
2002,Canada,15 to 24 years,Both sexes,Total population for the variable alcohol dependence,Coefficient of variation for percent,0
2002,Canada,15 to 24 years,Both sexes,"Alcohol dependence, probable non-case",Number of persons,3340102
2002,Canada,15 to 24 years,Both sexes,"Alcohol dependence, probable non-case","Low 95% confidence interval, number of persons",3286837
2002,Canada,15 to 24 years,Both sexes,"Alcohol dependence, probable non-case","High 95% confidence interval, number of persons",3393366
2002,Canada,15 to 24 years,Both sexes,"Alcohol dependence, probable non-case",Coefficient of variation for number of persons,0.8
2002,Canada,15 to 24 years,Both sexes,"Alcohol dependence, probable non-case",Percent,80.7
2002,Canada,15 to 24 years,Both sexes,"Alcohol dependence, probable non-case","Low 95% confidence interval, percent",79.5
2002,Canada,15 to 24 years,Both sexes,"Alcohol dependence, probable non-case","High 95% confidence interval, percent",82
2002,Canada,15 to 24 years,Both sexes,"Alcohol dependence, probable non-case",Coefficient of variation for percent,0.8
2002,Canada,15 to 24 years,Both sexes,"Alcohol dependence, slightly probable case",Number of persons,495785
2002,Canada,15 to 24 years,Both sexes,"Alcohol dependence, slightly probable case","Low 95% confidence interval, number of persons",451319
2002,Canada,15 to 24 years,Both sexes,"Alcohol dependence, slightly probable case","High 95% confidence interval, number of persons",540252
2002,Canada,15 to 24 years,Both sexes,"Alcohol dependence, slightly probable case",Coefficient of variation for number of persons,4.6
2002,Canada,15 to 24 years,Both sexes,"Alcohol dependence, slightly probable case",Percent,12
2002,Canada,15 to 24 years,Both sexes,"Alcohol dependence, slightly probable case","Low 95% confidence interval, percent",10.9
2002,Canada,15 to 24 years,Both sexes,"Alcohol dependence, slightly probable case","High 95% confidence interval, percent",13.1
